Date,Type,Expense Category,Amount ($),Notes
9/7/2024,Income,Shipping Fees,$353.15,Online purchase
11/23/2025,Income,Shipping Fees,$221.91,Course fee
2/2/2024,Income,Shipping Fees,$238.77,Family outing
6/1/2025,Income,Shipping Fees,$71.21,Family outing
1/3/2026,Income,Shipping Fees,"$1,051.70",Vacation booking
8/26/2025,Income,Shipping Fees,"$2,024.53",Monthly payment
2/16/2026,Income,Shipping Fees,"$1,746.86",Medical visit
10/11/2024,Income,Shipping Fees,$542.21,Medical visit
4/14/2024,Income,Shipping Fees,$952.92,Medical visit
5/17/2026,Income,Shipping Fees,"$1,511.30",Monthly payment
1/17/2026,Income,Shipping Fees,"$1,342.89",Course fee
3/21/2024,Income,Shipping Fees,$736.48,Groceries
1/5/2025,Income,Shipping Fees,$484.76,Online purchase
2/16/2024,Income,Shipping Fees,"$1,933.81",Online purchase
5/25/2026,Income,Shipping Fees,"$2,166.88",Course fee
10/11/2024,Income,Shipping Fees,"$1,591.03",Medical visit
6/15/2024,Income,Shipping Fees,$891.40,Utility bill
12/19/2025,Income,Shipping Fees,"$1,524.78",Office commute
6/30/2025,Income,Shipping Fees,$412.69,Course fee
10/3/2024,Income,Shipping Fees,$552.94,Medical visit
5/13/2026,Income,Shipping Fees,$576.47,Monthly payment
4/4/2026,Income,Shipping Fees,"$1,005.91",Online purchase
8/4/2024,Income,Shipping Fees,"$2,191.54",Medical visit
8/5/2024,Income,Shipping Fees,$992.10,Vacation booking
5/26/2024,Income,Shipping Fees,$353.38,Streaming service
7/5/2025,Income,Shipping Fees,"$1,868.80",Course fee
8/20/2025,Income,Shipping Fees,$908.18,Office commute
6/5/2025,Income,Shipping Fees,$231.82,Monthly payment
4/22/2024,Income,Shipping Fees,"$1,570.48",Course fee
9/2/2025,Income,Shipping Fees,$964.99,Groceries
4/24/2025,Income,Shipping Fees,$632.28,Streaming service
1/12/2024,Income,Shipping Fees,"$1,705.87",Streaming service
2/7/2026,Income,Shipping Fees,"$1,922.65",Medical visit
4/24/2024,Income,Shipping Fees,"$1,089.74",Vacation booking
1/4/2024,Income,Shipping Fees,"$2,429.86",Office commute
6/3/2025,Income,Shipping Fees,"$2,176.94",Utility bill
5/11/2026,Income,Shipping Fees,"$1,524.38",Office commute
1/17/2025,Income,Shipping Fees,"$1,350.75",Streaming service
1/1/2024,Income,Shipping Fees,$813.77,Monthly payment
4/24/2024,Income,Shipping Fees,"$2,197.41",Utility bill
9/2/2024,Income,Shipping Fees,$605.97,Groceries
3/21/2024,Income,Shipping Fees,"$1,831.11",Online purchase
2/17/2026,Income,Shipping Fees,"$1,915.76",Office commute
11/6/2025,Income,Shipping Fees,"$2,367.39",Office commute
9/28/2024,Income,Shipping Fees,"$2,181.72",Course fee
8/4/2024,Income,Shipping Fees,"$1,889.39",Family outing
12/31/2025,Income,Shipping Fees,"$1,000.49",Medical visit
3/24/2025,Income,Shipping Fees,"$1,131.46",Family outing
8/18/2024,Income,Shipping Fees,$848.52,Groceries
7/21/2025,Income,Shipping Fees,"$1,473.16",Monthly payment
3/13/2024,Income,Shipping Fees,$576.21,Monthly payment
5/30/2026,Income,Shipping Fees,$181.79,Family outing
10/12/2024,Income,Shipping Fees,$539.52,Office commute
1/10/2026,Income,Shipping Fees,"$1,442.65",Family outing
3/14/2026,Income,Shipping Fees,"$2,019.71",Family outing
4/6/2024,Income,Shipping Fees,"$1,649.16",Medical visit
3/9/2025,Income,Shipping Fees,"$1,170.23",Monthly payment
11/20/2025,Income,Shipping Fees,$156.23,Medical visit
3/30/2026,Income,Shipping Fees,$625.40,Family outing
7/3/2025,Income,Shipping Fees,$354.75,Office commute
10/12/2024,Income,Shipping Fees,$628.27,Online purchase
3/29/2025,Income,Shipping Fees,$249.28,Streaming service
5/6/2026,Income,Shipping Fees,"$2,422.65",Family outing
6/19/2024,Income,Shipping Fees,"$1,216.67",Family outing
2/14/2025,Income,Shipping Fees,$415.77,Monthly payment
2/3/2025,Income,Shipping Fees,"$2,316.66",Vacation booking
10/19/2024,Income,Shipping Fees,"$1,743.00",Streaming service
11/8/2025,Income,Shipping Fees,$391.22,Utility bill
8/10/2024,Income,Shipping Fees,"$1,450.05",Streaming service
3/3/2024,Income,Shipping Fees,$147.63,Groceries
5/3/2025,Income,Shipping Fees,"$2,298.87",Streaming service
6/10/2024,Income,Shipping Fees,"$2,402.14",Online purchase
5/21/2026,Income,Shipping Fees,$175.96,Online purchase
11/22/2025,Income,Shipping Fees,"$1,012.42",Groceries
9/9/2024,Income,Shipping Fees,"$1,488.33",Groceries
